targetId,comparatorId,outcomeId,outcomeName,type
1832,1833,434165,Abnormal cervical smear,outcome
1832,1833,436409,Abnormal pupil,outcome
1832,1833,199192,Abrasion and/or friction burn of trunk without infection,outcome
1832,1833,4088290,Absence of breast,outcome
1832,1833,4092879,Absent kidney,outcome
1832,1833,436634,Acariasis,outcome
1832,1833,44783954,Acid reflux,outcome
1832,1833,75911,Acquired hallux valgus,outcome
1832,1833,137951,Acquired keratoderma,outcome
1832,1833,77965,Acquired trigger finger,outcome
1832,1833,376707,Acute conjunctivitis,outcome
1832,1833,4103640,Amputated foot,outcome
1832,1833,432595,Amyloidosis,outcome
1832,1833,73241,Anal and rectal polyp,outcome
1832,1833,437082,Ankylosing spondylitis,outcome
1832,1833,77650,Aseptic necrosis of bone,outcome
1832,1833,378424,Astigmatism,outcome
1832,1833,374923,Bell's palsy,outcome
1832,1833,4110709,Benign epithelial neoplasm of skin,outcome
1832,1833,133655,Burn of forearm,outcome
1832,1833,73560,Calcaneal spur,outcome
1832,1833,434327,Cannabis abuse,outcome
1832,1833,4213540,Cervical somatic dysfunction,outcome
1832,1833,381581,Chalazion,outcome
1832,1833,140842,Changes in skin texture,outcome
1832,1833,438531,Chondromalacia,outcome
1832,1833,81378,Chondromalacia of patella,outcome
1832,1833,432303,Cocaine abuse,outcome
1832,1833,4201390,Colostomy present,outcome
1832,1833,46269889,Complication due to Crohn's disease,outcome
1832,1833,134438,Contact dermatitis,outcome
1832,1833,78619,Contusion of knee,outcome
1832,1833,201606,Crohn's disease,outcome
1832,1833,260134,Croup,outcome
1832,1833,76786,Derangement of knee,outcome
1832,1833,4115402,Difficulty sleeping,outcome
1832,1833,443767,Disorder of eye due to diabetes mellitus,outcome
1832,1833,45757370,Disproportion of reconstructed breast,outcome
1832,1833,433111,Effects of hunger,outcome
1832,1833,441589,Endocarditis,outcome
1832,1833,200775,Endometrial hyperplasia,outcome
1832,1833,433527,Endometriosis,outcome
1832,1833,73008,Enthesopathy,outcome
1832,1833,4249170,Epicondylitis,outcome
1832,1833,4170770,Epidermoid cyst,outcome
1832,1833,4345472,Epstein-Barr virus disease,outcome
1832,1833,4092896,Feces contents abnormal,outcome
1832,1833,259995,Foreign body in orifice,outcome
1832,1833,4050747,Fracture of upper limb,outcome
1832,1833,196456,Gallstone,outcome
1832,1833,40481632,Ganglion cyst,outcome
1832,1833,4166231,Genetic predisposition,outcome
1832,1833,74855,Genital herpes simplex,outcome
1832,1833,433577,Hammer toe,outcome
1832,1833,441818,Hemangioma,outcome
1832,1833,4231770,Hereditary thrombophilia,outcome
1832,1833,440329,Herpes zoster without complication,outcome
1832,1833,4012570,High risk sexual behavior,outcome
1832,1833,4038835,Hodgkin's disease,outcome
1832,1833,4012934,Homocystinuria,outcome
1832,1833,441788,Human papilloma virus infection,outcome
1832,1833,380688,Hypoglycemic coma,outcome
1832,1833,4254542,Hypopituitarism,outcome
1832,1833,4201717,Ileostomy present,outcome
1832,1833,374375,Impacted cerumen,outcome
1832,1833,140480,Impetigo,outcome
1832,1833,4344500,Impingement syndrome of shoulder region,outcome
1832,1833,139099,Ingrowing nail,outcome
1832,1833,444132,Injury of knee,outcome
1832,1833,434926,Iridocyclitis,outcome
1832,1833,196168,Irregular periods,outcome
1832,1833,75576,Irritable bowel syndrome,outcome
1832,1833,432593,Kwashiorkor,outcome
1832,1833,434203,Late effect of contusion,outcome
1832,1833,438329,Late effect of motor vehicle accident,outcome
1832,1833,443285,Lesion of cervix,outcome
1832,1833,195873,Leukorrhea,outcome
1832,1833,440638,Lyme disease,outcome
1832,1833,4083487,Macular drusen,outcome
1832,1833,4156115,Malignant neoplasm of endocrine gland,outcome
1832,1833,4103703,Melena,outcome
1832,1833,4134455,Mononeuropathy,outcome
1832,1833,4209423,Nicotine dependence,outcome
1832,1833,377572,Noise effects on inner ear,outcome
1832,1833,40480893,Nonspecific tuberculin test reaction,outcome
1832,1833,136368,Non-toxic multinodular goiter,outcome
1832,1833,4215978,Onychomycosis,outcome
1832,1833,140648,Onychomycosis due to dermatophyte,outcome
1832,1833,438130,Opioid abuse,outcome
1832,1833,75354,Osteochondropathy,outcome
1832,1833,192606,Paraplegia,outcome
1832,1833,4091513,Passing flatus,outcome
1832,1833,4112731,Polyp of intestine,outcome
1832,1833,4202045,Postviral fatigue syndrome,outcome
1832,1833,373478,Presbyopia,outcome
1832,1833,46286594,Problem related to lifestyle,outcome
1832,1833,439790,Psychalgia,outcome
1832,1833,81634,Ptotic breast,outcome
1832,1833,253954,Pulmonary tuberculosis,outcome
1832,1833,4087647,Rectal mass,outcome
1832,1833,380706,Regular astigmatism,outcome
1832,1833,438688,Sarcoidosis,outcome
1832,1833,4169984,Scar,outcome
1832,1833,141932,Senile hyperkeratosis,outcome
1832,1833,196236,Septic shock,outcome
1832,1833,254443,Sjogren's syndrome,outcome
1832,1833,36713918,Somatic dysfunction of lumbar region,outcome
1832,1833,443172,"Splinter of face, without major open wound",outcome
1832,1833,81151,Sprain of ankle,outcome
1832,1833,72748,Strain of rotator cuff capsule,outcome
1832,1833,378427,Tear film insufficiency,outcome
1832,1833,134461,Tietze's disease,outcome
1832,1833,437264,Tobacco dependence syndrome,outcome
1832,1833,4234533,Tonsillitis,outcome
1832,1833,4030042,Toxic goiter,outcome
1832,1833,81893,Ulcerative colitis,outcome
1832,1833,194083,Vaginitis and vulvovaginitis,outcome
1832,1833,140641,Verruca vulgaris,outcome
1832,1833,380038,Viral conjunctivitis,outcome
1832,1833,4291005,Viral hepatitis,outcome
1832,1833,4248870,Visceroptosis,outcome
1832,1833,4115367,Wrist joint pain,outcome
1832,1833,440193,Wristdrop,outcome
1832,1836,434165,Abnormal cervical smear,outcome
1832,1836,436409,Abnormal pupil,outcome
1832,1836,199192,Abrasion and/or friction burn of trunk without infection,outcome
1832,1836,4088290,Absence of breast,outcome
1832,1836,4092879,Absent kidney,outcome
1832,1836,436634,Acariasis,outcome
1832,1836,44783954,Acid reflux,outcome
1832,1836,75911,Acquired hallux valgus,outcome
1832,1836,137951,Acquired keratoderma,outcome
1832,1836,77965,Acquired trigger finger,outcome
1832,1836,376707,Acute conjunctivitis,outcome
1832,1836,4103640,Amputated foot,outcome
1832,1836,432595,Amyloidosis,outcome
1832,1836,73241,Anal and rectal polyp,outcome
1832,1836,437082,Ankylosing spondylitis,outcome
1832,1836,77650,Aseptic necrosis of bone,outcome
1832,1836,378424,Astigmatism,outcome
1832,1836,374923,Bell's palsy,outcome
1832,1836,4110709,Benign epithelial neoplasm of skin,outcome
1832,1836,133655,Burn of forearm,outcome
1832,1836,73560,Calcaneal spur,outcome
1832,1836,434327,Cannabis abuse,outcome
1832,1836,4213540,Cervical somatic dysfunction,outcome
1832,1836,381581,Chalazion,outcome
1832,1836,140842,Changes in skin texture,outcome
1832,1836,438531,Chondromalacia,outcome
1832,1836,81378,Chondromalacia of patella,outcome
1832,1836,432303,Cocaine abuse,outcome
1832,1836,4201390,Colostomy present,outcome
1832,1836,46269889,Complication due to Crohn's disease,outcome
1832,1836,134438,Contact dermatitis,outcome
1832,1836,78619,Contusion of knee,outcome
1832,1836,201606,Crohn's disease,outcome
1832,1836,260134,Croup,outcome
1832,1836,76786,Derangement of knee,outcome
1832,1836,4115402,Difficulty sleeping,outcome
